index,problem_id,difficulty,ground_truth,cot_obj,cot_pass_1e6,l1_obj,l1_pass_1e6,l2_obj,l2_pass_1e6,final_obj,final_pass_1e6,runtime_s,prompt_tokens,completion_tokens,total_tokens
0,1,Medium,219816.0,206800.0,False,206800.0,False,206800.0,False,206800.0,False,427.320,16962,12028,28990
1,2,Medium,125.0,125.0,True,125.0,True,125.0,True,125.0,True,171.305,3905,3767,7672
2,3,Hard,10349920.0,,False,10349920.0,True,10349920.0,True,10349920.0,True,449.229,16860,12635,29495
3,4,Easy,30400.0,30400.0,True,30400.0,True,30400.0,True,30400.0,True,282.056,5975,5800,11775
4,5,Easy,18.6943,15.5,False,15.5,False,15.5,False,15.5,False,253.210,8484,5780,14264
5,6,Hard,10755.0,28255.0,False,28255.0,False,28255.0,False,10755.0,True,191.757,9234,6592,15826
6,7,Medium,904590.0,452295.0,False,452295.0,False,452295.0,False,452295.0,False,141.374,5540,2871,8411
7,8,Medium,14.0,14.0,True,14.0,True,14.0,True,14.0,True,123.186,5319,3061,8380
8,9,Hard,623.0,623.0,True,623.0,True,623.0,True,623.0,True,196.745,8075,4981,13056
9,10,Easy,3.0,3.0,True,3.0,True,3.0,True,3.0,True,175.843,8489,3587,12076
10,11,Medium,3867.0,4136.0,False,4136.0,False,4136.0,False,4136.0,False,158.648,4240,3821,8061
11,12,Hard,43200.0,43200.0,True,43200.0,True,43200.0,True,43200.0,True,134.247,4014,2331,6345
12,13,Medium,180000.0,180000.0,True,180000.0,True,180000.0,True,180000.0,True,281.353,7887,6297,14184
13,14,Hard,123.8,123.8,True,123.8,True,123.8,True,123.8,True,209.934,4834,4178,9012
14,15,Medium,168.0,134.0,False,134.0,False,134.0,False,134.0,False,128.057,3368,2731,6099
15,16,Easy,4100.0,,False,,False,,False,,False,152.401,3741,2831,6572
16,17,Hard,0.5765,,False,,False,,False,,False,416.339,10100,10152,20252
17,18,Medium,5.0,5.0,True,5.0,True,5.0,True,5.0,True,127.084,2791,2598,5389
18,19,Easy,4000.0,4000.0,True,4000.0,True,4000.0,True,4000.0,True,286.655,8535,7483,16018
19,20,Easy,956.0,956.0,True,956.0,True,956.0,True,956.0,True,297.218,6609,5737,12346
20,21,Easy,15000.0,15000.0,True,15000.0,True,15000.0,True,15000.0,True,161.502,7399,4023,11422
21,22,Medium,156483.0,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,270289.99999999994,False,198.503,7098,6400,13498
22,23,Easy,21500.0,24000.0,False,24000.0,False,24000.0,False,24000.0,False,96.648,3195,3076,6271
23,24,Easy,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,118.020,4938,3409,8347
24,25,Easy,510000.0,510000.0,True,510000.0,True,510000.0,True,510000.0,True,146.475,5926,4659,10585
25,26,Hard,53.0,,False,0.0,False,0.0,False,0.0,False,166.704,7268,5009,12277
26,27,Hard,1146.4142,1146.566502463054,False,1146.566502463054,False,1146.566502463054,False,1146.566502463054,False,178.224,5669,5569,11238
27,28,Medium,580000.0,970400.0,False,970400.0,False,970400.0,False,580000.0,True,289.457,12352,8755,21107
28,29,Medium,2000.0,,False,,False,,False,,False,265.098,10210,8003,18213
29,30,Easy,32.43589743589744,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,0.032435897435897434,False,71.908,5628,2501,8129
30,31,Hard,1190.41,,False,,False,,False,,False,297.990,10633,8638,19271
31,32,Easy,2924.0,2924.137931034483,False,2924.137931034483,False,2924.137931034483,False,2924.137931034483,False,55.031,2653,1569,4222
32,33,Medium,1000.0,1000.0,True,1000.0,True,1000.0,True,1000.0,True,468.261,12049,11020,23069
33,34,Hard,7.0,7.0,True,7.0,True,7.0,True,7.0,True,155.065,5198,3539,8737
34,35,Medium,14.1,14.1,True,14.1,True,14.1,True,14.1,True,164.671,8269,4925,13194
35,36,Hard,175.37,,False,,False,,False,,False,387.171,20169,11074,31243
36,37,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,155.676,5392,3885,9277
37,38,Easy,14.0,14.0,True,14.0,True,14.0,True,14.0,True,145.866,3802,2899,6701
38,39,Easy,600.0,600.0,True,600.0,True,600.0,True,600.0,True,205.297,7519,4403,11922
39,40,Medium,33288066.626,36288567.03694582,False,36288567.03694582,False,36288567.03694582,False,36288567.03694582,False,343.101,11478,8514,19992
40,41,Medium,964640.0,964640.0,True,964640.0,True,964640.0,True,964640.0,True,121.707,5799,4330,10129
41,42,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,190.889,4131,4250,8381
42,43,Medium,6800.0,6800.0,True,6800.0,True,6800.0,True,6800.0,True,158.618,6011,3934,9945
43,44,Medium,685.0,685.0,True,685.0,True,685.0,True,685.0,True,189.247,6547,3939,10486
44,45,Easy,700.0,,False,,False,,False,,False,437.323,11026,10715,21741
45,46,Medium,715.7,715.7,True,715.7,True,715.7,True,715.7,True,168.653,6084,4115,10199
46,47,Hard,20241.615384615387,20241.615384615383,True,20241.615384615383,True,20241.615384615383,True,20241.615384615383,True,399.823,16804,11085,27889
47,48,Medium,11250.0,11250.0,True,11250.0,True,11250.0,True,11250.0,True,206.310,6174,4567,10741
48,49,Medium,208000.0,-1.0,False,,False,,False,212500.0,False,254.256,9354,6995,16349
49,50,Easy,9100.0,5800.0,False,,False,,False,,False,132.564,4485,3088,7573
50,51,Medium,4240.0,4240.0,True,4240.0,True,4240.0,True,4240.0,True,160.793,4973,3444,8417
51,52,Easy,150.0,150.0,True,150.0,True,150.0,True,150.0,True,157.486,4507,2713,7220
52,53,Easy,3050.0,3050.0,True,3050.0,True,3050.0,True,3050.0,True,214.917,6296,5273,11569
53,54,Easy,135.26666666666668,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,135.26666666666668,True,89.632,2565,1602,4167
54,55,Hard,4.0,4.0,True,4.0,True,4.0,True,4.0,True,236.730,8865,6013,14878
55,56,Medium,-700.0,19300.0,False,19300.0,False,19300.0,False,19300.0,False,85.225,3076,2731,5807
56,57,Easy,600.0,5000.0,False,5000.0,False,5000.0,False,5000.0,False,119.386,3630,4372,8002
57,58,Easy,240000.0,240000.0,True,240000.0,True,240000.0,True,296000.0,False,297.777,10503,7111,17614
58,59,Medium,6160.0,6160.0000000000055,True,6160.0000000000055,True,6160.0000000000055,True,6160.0000000000055,True,189.870,6883,4580,11463
59,60,Hard,153.0,,False,,False,,False,,False,310.082,6903,5210,12113
60,61,Easy,37000.0,37000.0,True,37000.0,True,37000.0,True,37000.0,True,106.348,2671,1831,4502
61,62,Easy,90000.0,90000.0,True,90000.0,True,90000.0,True,90000.0,True,80.889,2319,1418,3737
62,63,Easy,640.0,640.0,True,640.0,True,640.0,True,640.0,True,276.867,6439,5436,11875
63,64,Easy,38000.0,38000.0,True,38000.0,True,38000.0,True,38000.0,True,123.212,4236,3069,7305
64,65,Medium,30500.0,,False,,False,,False,,False,265.191,9226,7530,16756
65,66,Medium,25000.0,25000.0,True,25000.0,True,25000.0,True,25000.0,True,213.619,10636,5977,16613
66,67,Medium,3160500.0,3659500.0,False,3659500.0,False,3659500.0,False,3659500.0,False,206.579,6704,4983,11687
67,68,Easy,1030.0,1030.0,True,1030.0,True,1030.0,True,1030.0,True,85.501,3913,2492,6405
68,69,Easy,20.0,53.0,False,53.0,False,53.0,False,53.0,False,92.369,2113,2121,4234
69,70,Easy,35.0,35.0,True,35.0,True,35.0,True,35.0,True,86.491,2635,1553,4188
70,71,Medium,330.0,630.0,False,630.0,False,630.0,False,630.0,False,280.759,5456,4379,9835
71,72,Easy,135000.0,135000.0,True,135000.0,True,135000.0,True,135000.0,True,101.601,3525,2326,5851
72,73,Easy,1600.0,1600.0,True,1600.0,True,1600.0,True,1600.0,True,173.656,5767,3904,9671
73,74,Medium,115000.0,,False,16000.0,False,16000.0,False,16000.0,False,446.402,14496,8784,23280
74,75,Easy,57.0,57.0,True,57.0,True,57.0,True,57.0,True,116.701,3382,2778,6160
75,76,Medium,4700.0,-0.0,False,-0.0,False,-0.0,False,-0.0,False,208.803,7358,5279,12637
76,77,Easy,1005.0,1005.0,True,1005.0,True,1005.0,True,1005.0,True,253.610,13642,6491,20133
77,78,Medium,172.0,172.0,True,172.0,True,172.0,True,172.0,True,146.071,4529,4562,9091
78,79,Easy,9800.0,9800.0,True,9800.0,True,9800.0,True,9800.0,True,112.697,4021,3355,7376
79,80,Medium,84000.0,84000.0,True,84000.0,True,84000.0,True,84000.0,True,343.499,8569,7984,16553
80,81,Hard,28.6,28.599999999999994,True,28.599999999999994,True,28.599999999999994,True,28.599999999999994,True,76.006,2940,1511,4451
81,82,Easy,28.0,60.20000000000001,False,60.20000000000001,False,60.20000000000001,False,60.20000000000001,False,188.218,3706,3550,7256
82,83,Hard,26.0,26.0,True,26.0,True,26.0,True,26.0,True,94.089,4030,2681,6711
83,84,Easy,23000.0,23000.0,True,23000.0,True,23000.0,True,23000.0,True,118.601,3438,2794,6232
84,85,Hard,1866.37,1866.379310344828,False,1866.379310344828,False,1866.379310344828,False,1866.379310344828,False,327.348,8466,5281,13747
85,86,Hard,77500.0,77499.99999999999,True,77499.99999999999,True,77499.99999999999,True,77499.99999999999,True,100.779,3971,2619,6590
86,87,Medium,4170.0,4170.0,True,4170.0,True,4170.0,True,4170.0,True,88.408,2710,2276,4986
87,88,Medium,1.25,66.45161290322581,False,66.45161290322581,False,66.45161290322581,False,1.25,True,238.114,6382,4917,11299
88,89,Medium,146.667,146.66666666666669,False,146.66666666666669,False,146.66666666666669,False,146.66666666666669,False,171.640,2756,2847,5603
89,90,Medium,3600.0,3600.0,True,3600.0,True,3600.0,True,3600.0,True,238.742,6621,4562,11183
90,91,Easy,408.9,408.0,False,408.0,False,408.0,False,408.0,False,153.854,4418,2696,7114
91,92,Easy,6200.0,6200.0,True,6200.0,True,6200.0,True,6200.0,True,155.158,3576,3175,6751
92,93,Easy,3360.0,3360.0,True,3360.0,True,3360.0,True,3360.0,True,328.720,9540,6364,15904
93,94,Medium,5000000.0,7000000.0,False,7000000.0,False,7000000.0,False,7000000.0,False,245.541,5594,4437,10031
94,95,Medium,528.0,528.0,True,528.0,True,528.0,True,528.0,True,159.382,3204,2077,5281
95,96,Medium,19.6,19.0,False,19.0,False,19.0,False,19.0,False,286.661,3912,3698,7610
96,97,Medium,115.0,115.0,True,115.0,True,115.0,True,-804.9999358517065,False,430.505,13689,9142,22831
97,98,Medium,137500.0,165900.0,False,165900.0,False,165900.0,False,165900.0,False,202.936,5086,3716,8802
98,99,Hard,0.6075,,False,,False,,False,,False,281.186,8391,6183,14574
99,100,Hard,84.0,65.0,False,65.0,False,65.0,False,60.0,False,429.894,14966,9626,24592
